ctm,ctmString,open,close,high,low,vol
1676070000000,"Feb 11, 2023, 12:00:00 AM",2162895.0,21795.45,21848.45,21590.45,370828.0
1676156400000,"Feb 12, 2023, 12:00:00 AM",2179595.0,21766.95,22057.45,21603.45,422176.0
1676242800000,"Feb 13, 2023, 12:00:00 AM",2176795.0,21618.45,21867.45,21340.95,399593.0
1676329200000,"Feb 14, 2023, 12:00:00 AM",2161845.0,22163.45,22301.45,21512.45,378568.0
1676415600000,"Feb 15, 2023, 12:00:00 AM",2216295.0,24117.45,24341.95,22018.45,368610.0
1676502000000,"Feb 16, 2023, 12:00:00 AM",2411645.0,24009.95,25223.45,23950.45,379957.0
1676588400000,"Feb 17, 2023, 12:00:00 AM",2396745.0,24790.45,24988.45,23312.45,310282.0
1676674800000,"Feb 18, 2023, 12:00:00 AM",2453145.0,24598.95,24847.45,24413.95,325097.0
1676761200000,"Feb 19, 2023, 12:00:00 AM",2459995.0,24460.95,25155.95,24233.95,376802.0
1676847600000,"Feb 20, 2023, 12:00:00 AM",2445995.0,24674.95,25080.45,23805.45,363907.0
1676934000000,"Feb 21, 2023, 12:00:00 AM",2467395.0,24357.45,25218.95,24119.45,334464.0
1677020400000,"Feb 22, 2023, 12:00:00 AM",2435445.0,24073.45,24438.95,23546.95,346618.0
1677106800000,"Feb 23, 2023, 12:00:00 AM",2407495.0,23844.45,24568.95,23583.95,312609.0
1677193200000,"Feb 24, 2023, 12:00:00 AM",2384445.0,23175.45,24102.45,22808.45,317104.0
1677279600000,"Feb 25, 2023, 12:00:00 AM",2305045.0,23090.95,23141.95,22714.45,280621.0
1677366000000,"Feb 26, 2023, 12:00:00 AM",2308945.0,23442.45,23654.95,23028.95,384161.0
1677452400000,"Feb 27, 2023, 12:00:00 AM",2344445.0,23447.95,23858.45,23089.95,373209.0
1677538800000,"Feb 28, 2023, 12:00:00 AM",2344845.0,23125.45,23566.95,22994.95,391881.0
1677625200000,"Mar 1, 2023, 12:00:00 AM",2312645.0,23509.45,23961.95,22995.45,357282.0
1677711600000,"Mar 2, 2023, 12:00:00 AM",2350995.0,23431.45,23764.95,23160.45,379483.0
1677798000000,"Mar 3, 2023, 12:00:00 AM",2343095.0,22274.45,23479.45,21955.45,362921.0
1677884400000,"Mar 4, 2023, 12:00:00 AM",2231445.0,22275.45,22379.95,22131.45,332190.0
1677970800000,"Mar 5, 2023, 12:00:00 AM",2227645.0,22403.95,22626.45,22167.45,389053.0
1678057200000,"Mar 6, 2023, 12:00:00 AM",2240345.0,22406.95,22565.45,22236.45,390372.0
1678143600000,"Mar 7, 2023, 12:00:00 AM",2240495.0,22073.95,22522.45,21902.95,378250.0
1678230000000,"Mar 8, 2023, 12:00:00 AM",2207295.0,21820.45,22247.95,21635.45,393319.0
1678316400000,"Mar 9, 2023, 12:00:00 AM",2174945.0,20314.95,21802.45,20009.45,382403.0
1678402800000,"Mar 10, 2023, 12:00:00 AM",2031545.0,19939.45,20346.95,19530.45,255742.0
1678489200000,"Mar 11, 2023, 12:00:00 AM",2044445.0,20455.45,20614.45,19855.45,230514.0
1678575600000,"Mar 12, 2023, 12:00:00 AM",2045645.0,21831.45,22087.45,20306.14,254702.0
1678662000000,"Mar 13, 2023, 12:00:00 AM",2183345.0,24154.45,24561.45,21737.45,171393.0
